Card,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Victor Wembanyama 2023 Prizm #136 Base Raw","-67.91","-$47.31","$69.66","$22.35 (02/01/2025)","$57.27","$0.99","$159.16","2089.31","18434","$1055703.88"
"Anthony Edwards 2020 Prizm #258 Base Raw","2.33","$0.30","$12.77","$13.07 (02/01/2025)","$23.62","$0.99","$74.99","254.17","7048","$166502.48"
"CJ Stroud 2023 Donruss #339 Base Raw","83.60","$9.33","$11.17","$20.50 (02/01/2025)","$8.79","$0.99","$85.00","10.26","4621","$40618.91"
"Victor Wembanyama 2023 Topps Chrome #1 Base Raw","-83.10","-$58.17","$70.00","$11.83 (02/01/2025)","$19.90","$0.99","$132.50","0.00","4095","$81487.92"
"Paul Skenes 2023 Bowman Draft #BDC-14 Chrome (1st) Raw","131.21","$10.09","$7.69","$17.78 (02/01/2025)","$21.20","$0.99","$95.26","613.64","3818","$80957.73"
"Ken Griffey Jr. 1989 Upper Deck #1 Base Raw","-0.05","-$0.03","$56.09","$56.06 (02/01/2025)","$53.23","$9.99","$125.00","9.00","3609","$192095.97"
"Shohei Ohtani 2024 Topps Chrome #1 Base Raw","19.15","$1.99","$10.41","$12.40 (02/01/2025)","$13.27","$0.99","$160.00","0.00","3047","$40426.10"
"Michael Jordan 1991 Upper Deck #SP1 Base Raw","13.69","$2.06","$15.06","$17.12 (02/01/2025)","$15.46","$0.99","$375.00","113.55","2885","$44605.37"
"Aaron Judge 2024 Topps Chrome #50 Base Raw","-11.79","-$1.60","$13.59","$11.99 (02/01/2025)","$13.47","$0.99","$160.00","0.00","2721","$36661.02"
"Jayden Daniels 2024 Prizm #347 Base Raw","58.99","$11.80","$20.00","$31.80 (02/01/2025)","$37.08","$0.99","$86.00","0.00","2674","$99154.09"
"Victor Wembanyama 2023 Court Kings #73 Rookies I Raw","-66.66","-$49.99","$74.99","$25.00 (01/30/2025)","$38.18","$3.76","$157.50","0.00","2514","$95977.83"
"Shohei Ohtani 2018 Bowman #49 Base Raw","25.86","$6.92","$26.75","$33.66 (02/01/2025)","$23.97","$0.99","$73.00","-20.71","2492","$59727.41"
"Bo Jackson 1990 Score #697 Base Raw","46.99","$3.48","$7.41","$10.89 (02/01/2025)","$8.93","$0.99","$24.99","42.91","2448","$21868.06"
"Victor Wembanyama 2023 Donruss #1 Magicians Raw","-62.49","-$18.74","$29.99","$11.25 (02/01/2025)","$7.85","$0.99","$30.00","0.00","2403","$18863.97"
"Caitlin Clark 2024 Select WNBA #72 Concourse Raw","-86.07","-$104.99","$121.98","$16.99 (02/01/2025)","$23.29","$0.99","$160.00","0.00","2389","$55647.14"
"Victor Wembanyama 2023 Prizm #136 Pink Ice Raw","-45.51","-$114.00","$250.50","$136.50 (02/01/2025)","$251.82","$75.00","$850.00","0.00","2318","$583717.81"
"Victor Wembanyama 2023 Prizm #136 Silver Raw","-44.10","-$276.11","$626.11","$350.00 (02/01/2025)","$551.84","$175.00","$1275.00","2512.79","2247","$1239989.13"
"Don Mattingly 1984 Topps #8 Base Raw","-6.89","-$0.93","$13.47","$12.54 (02/01/2025)","$11.86","$0.99","$143.99","19.90","2151","$25500.40"
"Paul Skenes 2023 Bowman Draft #BDC-14 Chrome - Refractor (1st) Raw","280.62","$41.29","$14.71","$56.00 (02/01/2025)","$45.02","$1.00","$152.50","345.49","2125","$95661.73"
"Shohei Ohtani 2018 Topps #700 Base (Pitching) Raw","13.81","$4.38","$31.68","$36.06 (02/01/2025)","$31.40","$5.00","$87.75","-1.68","2106","$66125.29"
"Tony Gwynn 1983 Topps #482 Base Raw","70.93","$9.27","$13.06","$22.33 (02/01/2025)","$15.60","$0.99","$139.99","15.25","1988","$31007.73"
"Bo Jackson 1988 Topps #327 Base Raw","-28.92","-$4.53","$15.68","$11.14 (02/01/2025)","$12.16","$0.99","$32.00","165.14","1962","$23859.69"
"Saquon Barkley 2018 Donruss #306 Base Raw","780.21","$23.41","$3.00","$26.41 (02/01/2025)","$9.32","$0.99","$50.00","750.22","1930","$17990.96"
"Shohei Ohtani 2018 Topps Update #US285 Rookie Debut Raw","69.25","$13.68","$19.75","$33.43 (02/01/2025)","$27.21","$3.25","$80.20","-12.42","1911","$51995.91"
"Victor Wembanyama 2023 Donruss #220 Holo Green Laser Raw","-90.77","-$295.00","$325.00","$30.00 (02/01/2025)","$53.87","$12.69","$325.00","0.00","1911","$102950.95"
"Kobe Bryant 1996 Topps #138 Base Raw","-35.11","-$21.92","$62.42","$40.50 (02/01/2025)","$63.61","$20.00","$152.50","13.99","1850","$117680.06"
"CJ Stroud 2023 Mosaic #ND-3 NFL Debut Raw","45.41","$3.36","$7.39","$10.74 (01/31/2025)","$5.19","$0.99","$25.00","-57.21","1824","$9473.07"
"Wade Boggs 1983 Topps #498 Base Raw","35.67","$3.18","$8.90","$12.08 (02/01/2025)","$9.58","$0.99","$69.99","21.90","1792","$17167.96"
"Ryne Sandberg 1983 Topps #83 Base Raw","19.17","$2.29","$11.92","$14.21 (02/01/2025)","$12.81","$0.99","$89.00","25.70","1707","$21869.35"
